Operadora;oper_logo
CLARO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/claro.png
VIVO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/vivo.png
OI;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/logo-oi-verde.svg
TIM;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/tim.png
ALGAR;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/algar.png
LIGGA TELECOM;https://raw.githubusercontent.com/gabrielmprata/Anatel_Reclamacoes/main/images/ligga.jpg
Brisanet;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/Brisanet.png
MOB TELECOM;https://raw.githubusercontent.com/gabrielmprata/Anatel_Reclamacoes/main/images/mob.png
BLINK TELECOM;https://raw.githubusercontent.com/gabrielmprata/Anatel_Reclamacoes/main/images/blink.png
HUGHES;https://raw.githubusercontent.com/gabrielmprata/Anatel_Reclamacoes/main/images/hughes.png
UNIFIQUE;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/unifique.png
DESKTOP;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/desktop.png
VERO;https://raw.githubusercontent.com/gabrielmprata/anatel/main/images/oper/vero.jpg
