Operadora;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;total
OI;337301;288276;227723;161065;143198;141286;105650;79435;59828;39327;1583089
VIVO;175921;162510;149757;138027;159211;186344;153000;110875;98838;68283;1402766
CLARO;0;0;0;0;22346;247416;161360;133659;103300;65691;733772
NET;84820;75224;85353;95192;113140;0;0;0;0;0;453729
TIM;11638;24638;25997;61122;77866;67835;36874;25178;30121;32156;393425
ALGAR;3256;3512;4422;6899;10057;10875;11987;10125;9061;4759;74953
SKY;8177;10836;12213;11873;10407;8679;3596;1884;1338;1453;70456
HUGHES;0;0;0;1378;2941;12985;5483;2405;1379;751;27322
Brisanet;0;0;0;405;1264;3461;4594;4554;4975;4014;23267
LIGGA TELECOM;0;0;0;0;0;0;0;0;5210;1970;7180
MOB TELECOM;0;0;0;0;0;0;0;0;3496;3153;6649
SERCOMTEL;520;500;704;504;598;681;853;477;268;130;5235
BLINK TELECOM;0;0;0;0;0;0;0;0;1663;1002;2665
CABO TELECOM;0;0;0;225;397;619;449;394;452;0;2536
UNIFIQUE;0;0;0;0;0;0;0;0;940;630;1570
VALENET;0;0;0;0;0;0;0;0;963;559;1522
PROXXIMA;0;0;0;0;0;0;0;0;264;245;509
BR SUPER;0;0;0;0;0;0;0;0;24;9;33
GB ONLINE;0;0;0;0;0;0;0;0;17;9;26
